age	popFLBR
0	89167
1	88319
2	88628
3	86368
4	85358
5	83177
6	81683
7	78741
8	77900
9	78498
10	79844
11	79440
12	80163
13	81725
14	81512
15	81422
16	82364
17	85794
18	88483
19	90075
20	90741
21	89403
22	90486
23	90861
24	92157
25	92145
26	95172
27	97286
28	100000
29	101810
30	103502
31	102814
32	101487
33	99614
34	97709
35	95176
36	97758
37	99590
38	103285
39	105828
40	108392
41	107210
42	107408
43	107840
44	110916
45	113315
46	116699
47	114458
48	112365
49	111135
50	109379
51	109223
52	106271
53	103754
54	101352
55	99628
56	96816
57	93727
58	92853
59	88119
60	87603
61	86369
62	86136
63	84687
64	85221
65	75256
66	74373
67	70586
68	61614
69	55148
70	60671
71	65099
72	65718
73	62461
74	59746
75	58251
76	57577
77	55575
78	55247
79	52949
80	50556
81	44530
82	41144
83	37294
84	34268
85	31297
86	27765
87	24603
88	20596
89	17524
90	14449
91	8919
92	5092
93	3934
94	3409
95	3034
96	2536
97	1764
98	1204
99	808
