"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",1856,7424,1,29,10,2010,70,"M",2,NA,5,NA,NA,"BE",2,70,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,5,"Y","N",7
"BE",2251,9004,3,20,11,2010,8,"F",5,NA,6,NA,NA,"BE",4,8,11,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",20
"BE",5294,21176,1,27,10,2010,44,"M",1,NA,2,NA,NA,"EU",2,45,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,3,"Y","N",10
"BE",5966,23864,1,25,10,2010,57,"M",1,NA,3,NA,NA,"BE",2,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,3,NA,NA,NA,1,"Y","N",25
"BE",6286,25144,1,20,11,2010,46,"M",1,NA,5,NA,NA,"BE",1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,NA,NA,NA,NA,6,"N","N",30
"BE",6927,27708,3,27,10,2010,12,"M",5,NA,6,NA,NA,"BE",5,12,16,19,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",50
"BE",9930,39720,1,28,10,2010,45,"M",1,NA,4,NA,NA,"BE",4,7,12,42,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",14
"BE",10419,41676,1,16,11,2010,55,"F",1,NA,6,NA,NA,"BE",5,53,22,20,18,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",5
"BE",10504,42016,1,26,10,2010,26,"M",1,NA,5,NA,NA,"BE",4,23,54,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",11
"BE",12958,51832,1,27,10,2010,42,"F",6,NA,4,NA,NA,"EU",2,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,3,"Y","N",3
"BE",19607,78428,1,17,11,2010,47,"M",1,NA,4,NA,NA,"BE",4,13,15,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",25,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,3,"Y","N",49
"BE",21748,86992,1,18,11,2010,53,"M",1,NA,4,NA,NA,"BE",2,63,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,NA,NA,NA,NA,4,"Y","N",18
