"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count","household_id","survey_relationship","health_mobility","health_self_care","health_daily_activity","health_pain","health_fear","health_score","city_name_participant","city_zip_code","city_name","city_xcoord","city_ycoord","city_latitude","city_longitude","person_height","person_weight","residential_status","residential_status_other","residential_population","child_care_boolean","child_care_monday","child_care_tuesday","child_care_wednesday","child_care_thursday","child_care_friday","child_care_saturday","child_care_sunday","child_care_unknown","child_school","child_school_count","child_extracur_boyscout","child_extracur_sports_team","child_extracur_music_school","child_extracur_other","child_extracur_no","child_extracur_unknown","child_extracur_other_detail","occupation_detail_simid","elderly_at_work","occupation_public_health","occupation_public_health_function","severe_disease_self","severe_disease_family","severe_disease_caregiving","elderly_children","elderly_children_count","elderly_children_age","elderly_children_frequency","elderly_grandchildren","elderly_grandchildren_count","elderly_grandchildren_age","elderly_grandchildren_frequency","smoking","elderly_smoking","elderly_drinking_type","elderly_drinking_frequency","work_contacts_0_5","work_contacts_6_11","work_contacts_12_17","work_contacts_18_29","work_contacts_30_60","work_contacts_60plus","time_use_location_1","time_use_location_2","time_use_location_3","time_use_location_4","time_use_location_5","time_use_location_6","time_use_location_7","time_use_location_8","time_use_location_9","time_use_location_10","time_use_location_11","time_use_location_12","time_use_location_13","time_use_location_14","time_use_location_15","time_use_location_16","time_use_location_17","time_use_distance_1","time_use_distance_2","time_use_distance_3","time_use_distance_4","time_use_distance_5","time_use_distance_6","time_use_distance_7","time_use_distance_8","time_use_distance_9","time_use_distance_10","time_use_distance_11","time_use_distance_12","time_use_distance_13","time_use_distance_14","time_use_distance_15","time_use_distance_16","time_use_distance_17","uncommon_day","uncommon_day_reason","uncommon_day_other","contacts_unreported","public_transport_bus","public_transport_train","public_transport_other","hh_member_age_1","hh_member_age_2","hh_member_age_3","hh_member_age_4","hh_member_age_5","hh_member_age_6","hh_member_age_7","hh_member_age_8","hh_member_age_9","hh_member_age_10","hh_member_age_11","hh_member_age_12","hh_member_gender_1","hh_member_gender_2","hh_member_gender_3","hh_member_gender_4","hh_member_gender_5","hh_member_gender_6","hh_member_gender_7","hh_member_gender_8","hh_member_gender_9","hh_member_gender_10","hh_member_gender_11","hh_member_gender_12","hh_member_present_1","hh_member_present_2","hh_member_present_3","hh_member_present_4","hh_member_present_5","hh_member_present_6","hh_member_present_7","hh_member_present_8","hh_member_present_9","hh_member_present_10","hh_member_present_11","hh_member_present_12","animal_ownership","animal_touching","animal_ownership_cat","animal_ownership_dog","animal_ownership_horse","animal_ownership_chicken","animal_ownership_turkey","animal_ownership_sheep","animal_ownership_pigeon","animal_ownership_pig","animal_ownership_cow","animal_ownership_fish","animal_ownership_other","animal_touching_cat","animal_touching_dog","animal_touching_horse","animal_touching_chicken","animal_touching_turkey","animal_touching_sheep","animal_touching_pigeon","animal_touching_pig","animal_touching_cow","animal_touching_fish","animal_touching_other","hh_parental_type","problem_flag","individual_survey"
"BE",1856,7424,1,29,10,2010,70,"M",2,NA,5,NA,NA,"BE",2,70,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,5,"Y","N",7,1856,4,1,1,1,1,1,75,"hoboken",2660,"Hoboken",148730,207450,51.1775732,4.34992,NA,NA,"at_home"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"N","N",NA,"N","N","N","Y",4,43,2,"Y",9,9,2,NA,3,1,4,NA,NA,NA,NA,NA,NA,1,1,8,8,1,1,1,8,8,1,1,1,8,8,8,1,1,1,1,2,2,1,1,1,2,2,1,1,1,3,3,3,1,1,"Y",6,NA,1,"N","N",NA,70,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE
"BE",2251,9004,3,20,11,2010,8,"F",5,NA,6,NA,NA,"BE",4,8,11,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",20,2251,NA,1,1,1,1,1,95,"oostduinkerke",8670,"Koksijde",29622,200945,51.1053908,2.6500795,NA,NA,NA," ",NA,"Y","N","Y","N","Y","N","N","N","N",2,27,"N","Y","N","N","N","N",NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,1,1,8,8,8,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,"N",NA,NA,2,"N","N",NA,8,11,41,42,NA,NA,NA,NA,NA,NA,NA,NA,"F","M","F","M",NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","N","N","N","N","N","N","N","N","N","N","schildpadjes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE
"BE",5294,21176,1,27,10,2010,44,"M",1,NA,2,NA,NA,"EU",2,45,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,3,"Y","N",10,5294,NA,1,1,2,2,2,81,"riemst",3770,"Riemst",236572,167597,50.8089945,5.6012328,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"N",NA,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,1,1,1,1,5,5,5,1,1,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,"N",NA,NA,1,"N","N",NA,45,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","Y","N","N","N","N","N","N",NA,"N","Y","N","Y","N","N","N","N","N","N",NA,2,0,TRUE
"BE",5966,23864,1,25,10,2010,57,"M",1,NA,3,NA,NA,"BE",2,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,3,NA,NA,NA,1,"Y","N",25,5966,NA,1,1,1,1,1,80,"vosselaar",2350,"Vosselaar",186220,222588,51.3030836,4.8834494,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"N",NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,1,1,8,8,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,1,1,1,"N",NA,NA,3,"N","N",NA,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","N","N","N","N","N","N","N",NA,"N","Y","N","N","N","N","N","N","N","N",NA,2,0,TRUE
"BE",6286,25144,1,20,11,2010,46,"M",1,NA,5,NA,NA,"BE",1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,NA,NA,NA,NA,6,"N","N",30,6286,NA,1,1,1,1,1,88,"hillegem",9550,"Herzele",116524,175032,50.8535314,3.8986569,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Y","hoofdverpleegkundige","N","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"N",NA,NA,5,"N","N",NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE
"BE",6927,27708,3,27,10,2010,12,"M",5,NA,6,NA,NA,"BE",5,12,16,19,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",4,NA,"BE",NA,NA,2,NA,NA,NA,3,"Y","N",50,6927,NA,1,1,1,1,1,97,"Sint-Denijs",8554,"Sint-Denijs",79420,160570,50.7530651,3.3653137,NA,NA,NA," ",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,3,20,"Y","Y","N","N","N","N",NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,5,1,1,8,8,1,8,8,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,"N",NA,NA,2,"N","N",NA,12,16,19,48,49,NA,NA,NA,NA,NA,NA,NA,"M","M","M","F","M",NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","N","N","Y","N","N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE
"BE",9930,39720,1,28,10,2010,45,"M",1,NA,4,NA,NA,"BE",4,7,12,42,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",14,9930,NA,1,1,1,1,1,80,"mechelen",2800,"Mechelen",157909,190864,51.0258791,4.4775365,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,1,1,1,7,7,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,3,1,1,1,"N",NA,NA,1,"N","N",NA,7,12,42,45,NA,NA,NA,NA,NA,NA,NA,NA,"M","M","F","M",NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,TRUE
"BE",10419,41676,1,16,11,2010,55,"F",1,NA,6,NA,NA,"BE",5,53,22,20,18,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",5,10419,NA,1,1,1,2,1,94,"merksplas",2330,"Merksplas",184416,227698,51.3581903,4.8635474,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Y","ziekenhuisapotheker","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,8,1,1,1,7,7,7,7,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,1,1,1,1,1,"Y",1,NA,1,"N","N",NA,53,22,20,18,55,NA,NA,NA,NA,NA,NA,NA,"M","M","M","F","F",NA,NA,NA,NA,NA,NA,NA,"Y","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","N","N","Y","N","N","N","N","N","Y",NA,"N","N","N","N","N","N","N","N","N","Y",NA,2,0,TRUE
"BE",10504,42016,1,26,10,2010,26,"M",1,NA,5,NA,NA,"BE",4,23,54,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",10,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",11,10504,NA,1,1,1,1,1,75,"diest",3290,"Diest",197839,186276,51.0010401,5.0852169,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"N",NA,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"N","N","N","Y","Y","N",1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,"N",NA,NA,2,"N","N",NA,23,54,57,26,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","M","M",NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","N","Y","N","N","N","N","N","N","N","N",NA,"N","Y","N","N","N","N","N","N","N","N",NA,2,0,TRUE
"BE",12958,51832,1,27,10,2010,42,"F",6,NA,4,NA,NA,"EU",2,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,3,"Y","N",3,12958,NA,2,2,2,3,1,44,"Lommel",3920,"Lommel",215497,213838,51.2304193,5.3110063,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"Y","begeleidster","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,"N",NA,NA,1,"N","N",NA,42,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Y","Y","Y","N","Y","N","N","N","Y","N","N","geit. parkiet","Y","Y","N","N","N","N","N","N","N","N","geit",2,0,TRUE
